"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1072","@regression Checkout fails when required fields are missing","","2025-12-30","passed","2025-12-30","","","",""
"","730","@regression Locked out user sees appropriate error message","","2025-12-30","passed","2025-12-30","","","",""
"","1433","Navigate to cart page","","2025-12-26","passed","2025-12-26","","cart.spec.ts","",""
"","941","@regression Navigate to cart page","","2025-12-30","passed","2025-12-30","","","",""
"","1592","Cancel checkout returns to cart","","2025-12-26","passed","2025-12-26","","checkout.spec.ts","",""
"","675","@regression Login with invalid credentials shows error","","2025-12-30","passed","2025-12-30","","","",""
"","1504","Login with invalid credentials shows error","","2025-12-26","passed","2025-12-26","","login.spec.ts","",""
"","3322","@smoke Login with valid credentials","","2025-12-30","passed","2025-12-30","","","",""
"","31657","Sorting never results in empty product list","","2025-12-22","broken","2025-12-22","","sorting.spec.ts","",""
"","1666","Cart shows correct item name and price","","2025-12-24","passed","2025-12-24","","cart.spec.ts","",""
"","3307","@smoke Complete checkout flow","","2025-12-30","passed","2025-12-30","","","",""
"","3589","@smoke Sort A → Z","","2025-12-30","passed","2025-12-30","","","",""
"","1660","Checkout fails when required fields are missing","","2025-12-26","passed","2025-12-26","","checkout.spec.ts","",""
"","718","@regression Sort Z → A","","2025-12-30","passed","2025-12-30","","","",""
"","1091","Check login button is visible","","2025-12-24","passed","2025-12-24","","basic-navigation.spec.ts","",""
"","5435","Add item to cart","","2025-12-24","passed","2025-12-24","","cart.spec.ts","",""
"","3174","@smoke Cart icon shows item count","","2025-12-30","passed","2025-12-30","","","",""
"","1472","Sort price low → high","","2025-12-26","passed","2025-12-26","","sorting.spec.ts","",""
"","801","@regression Cancel checkout returns to cart","","2025-12-30","passed","2025-12-30","","","",""
"","1415","Sort Z → A","","2025-12-26","passed","2025-12-26","","sorting.spec.ts","",""
"","5872","Complete checkout flow","","2025-12-26","passed","2025-12-26","","checkout.spec.ts","",""
"","587","@regression Sort price low → high","","2025-12-30","passed","2025-12-30","","","",""
"","35775","Sorting dropdown rejects invalid values","","2025-12-22","broken","2025-12-22","","sorting.spec.ts","",""
"","5749","Cart icon shows item count","","2025-12-26","passed","2025-12-26","","cart.spec.ts","",""
"","5811","Sort A → Z","","2025-12-26","passed","2025-12-26","","sorting.spec.ts","",""
"","2046","Remove item from cart","","2025-12-24","passed","2025-12-24","","cart.spec.ts","",""
"","6143","Crisis support link is visible on login page","","2025-12-23","failed","2025-12-23","","safety-tests.spec.ts","",""
"","6522","Search returns results","","2025-12-23","failed","2025-12-23","","search.spec.ts","",""
"","1399","Locked out user sees appropriate error message","","2025-12-26","passed","2025-12-26","","login.spec.ts","",""
"","5458","Open homepage and check title","","2025-12-24","passed","2025-12-24","","basic-navigation.spec.ts","",""
"","1092","Sort price high → low","","2025-12-26","passed","2025-12-26","","sorting.spec.ts","",""
"","4405","Error messages are clear and non-harmful","","2025-12-23","passed","2025-12-23","","safety-tests.spec.ts","",""
"","5682","Login with valid credentials","","2025-12-26","passed","2025-12-26","","login.spec.ts","",""
"","584","@regression Sort price high → low","","2025-12-30","passed","2025-12-30","","","",""
